platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_palladam_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,WL0tE6UlPWg,,https://www.youtube.com/watch?v=WL0tE6UlPWg,NewsTamil 24X7,🔴LIVE : திமுக மேற்கு மண்டல வாக்குச்சாவடி முகவர்கள் மாநாடு | DMK | MK Stalin | Coimbatore,,,,5052,,,,scrapy_youtube,2026-03-30T21:58:31.627782,dmk,True,neutral,0.8048,0.9302,coimbatore
youtube,post,cAJIA04BvhY,,https://www.youtube.com/watch?v=cAJIA04BvhY,Aganivi Kitchen,cute baby kongu tamil slang || coimbatore kongu baby,,,,185749,,,,scrapy_youtube,2026-03-30T21:58:21.798480,,True,neutral,0.461,0.0,coimbatore
youtube,post,FLt-8SwD5Ds,,https://www.youtube.com/watch?v=FLt-8SwD5Ds,Vikatan TV and Vikatan News,"Coimbatore மாவட்ட தொகுதிகள் : DMK, ADMK, NTK, TVK யார் யாருக்கு சீட்டு? | TN Election 360 updates",,,,103289,,,,scrapy_youtube,2026-03-30T21:58:20.696889,"dmk,admk,tvk",True,neutral,0.8945,1.3953,coimbatore
youtube,post,LjZmJdFF36k,,https://www.youtube.com/watch?v=LjZmJdFF36k,NewsTamil 24X7,DMK Candidate List DATA.! Senthil Balaji in Coimbatore South.! | DMK Candidate Full List 2026,,,,77745,,,,scrapy_youtube,2026-03-30T21:58:20.696889,"dmk,admk,tvk",True,neutral,0.8594,0.4651,coimbatore
youtube,post,-PfMhsT4Sg8,,https://www.youtube.com/watch?v=-PfMhsT4Sg8,NewsTamil 24X7,கோவையில் கால் வைத்த DMK வேட்பாளர்.. ஏர்போர்டே அதிர உற்சாக வரவேற்பு | DMK Coimbatore Airport,,,,240061,,,,scrapy_youtube,2026-03-30T21:58:20.696889,"dmk,admk,tvk",True,neutral,0.475,0.4651,coimbatore
youtube,post,y1jliEWip0g,,https://www.youtube.com/watch?v=y1jliEWip0g,Southern Herald,TVK Vignesh Mass Speech: DMK Scam & Coimbatore Betrayal Exposed | TVK,,,,181232,,,,scrapy_youtube,2026-03-30T21:58:20.696889,"dmk,admk,tvk",True,neutral,0.549,0.9302,coimbatore
youtube,post,fGkAL53nrOs,,https://www.youtube.com/watch?v=fGkAL53nrOs,NewsTamil 24X7,The Tvk Vijay Candidate set foot in Coimbatore.. The next moment the airport was shaken..! Tvk Vi...,,,,179657,,,,scrapy_youtube,2026-03-30T21:58:20.695892,"dmk,admk,tvk",True,neutral,0.4911,0.9302,coimbatore
youtube,post,5oEh7d1A3Iw,,https://www.youtube.com/watch?v=5oEh7d1A3Iw,Times Now Seithi,Do you know who is the Thaweka candidate Senthil Kumar who is contesting from Coimbatore South co...,,,,1304,,,,scrapy_youtube,2026-03-30T21:58:20.695892,"dmk,admk,tvk",True,neutral,0.8762,0.0,coimbatore
twitter,post,2038557364220310005,,https://twitter.com/suresh_lm/status/2038557364220310005,Heisenberg suresh_lm · 11h,,"Ha ha .like tvk cutting  admk  votes in  kongu  region .. gobi, Kovai, Mettupalayam laiyum thaan tvk ku kootam.. Kootam laan vote-a maaraathu theriyaama oru legacy katchikku support panra",,,,,,,scrapy_twitter_auth,2026-03-30T22:00:04.305306,"dmk,admk,tvk",True,negative,0.3701,1.3953,coimbatore
twitter,post,2038328078695317601,,https://twitter.com/theworldfeed90/status/2038328078695317601,𝓐𝓯𝓯𝓾   | World Diary  theworldfeed90 · Mar 30,,"Western Belt ( Kongu  Region) Coimbatore, Erode, Salem  Traditionally stronghold for others  TVK  here = direct challenge politics",,,,,,,scrapy_twitter_auth,2026-03-30T21:58:59.047513,tvk,True,neutral,0.4828,0.4651,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore dmk OR coimbatore admk OR coimbatore tvk,,,,,,,scrapling_instagram,2026-03-31T03:26:51.124673,"dmk,admk,tvk",True,neutral,0.7573,1.3953,coimbatore
instagram,post,Ct6q7iMpgLS,,https://www.instagram.com/p/Ct6q7iMpgLS/,,,"13K likes, 45 comments - gokul_manikandan_ on June 25, 2023: ""கரை தொடும் வானம் அழகு அதை விட என் மனதை தொடும் உன் புன்னகை அழகு 😍🥰❤️💛 🦚❤️அழகு ஒவியம் ❤️🦚 #kongunadu #kongu #gounder #konguculture#vallikummi #konguvellalagounder #coimbatore #goundachi #pollachi #goundan #kongutamil #erode #konguyoungsters#kongunadu#vallikummi #konguculture#tamilculture #kummi#valli#attam#kummiattam #kongu#kongunadu#kongugirls #explore#village#villagelife #tamilyoutuber#tamilyoutubechannel  @pollachi_paradise_41 @erode_official @erodesmartcity @weluverode @_village_shotz_ @art @mangai_valli_kummi mangai_valli_kummi_family  @mangai_valli_kummi_official  @_mangai_valli_kummi_fans_  @navakkarai_naveen_prabanjam  @nallatankal_valli_kummi  @suyambu_mariamman_valli_kummi"".",,,,,,,scrapy_instagram,2026-03-30T22:00:10.773067,,True,positive,0.3767,0.0,coimbatore
instagram,post,DMmySvVzWyU,,https://www.instagram.com/p/DMmySvVzWyU/,,,"15K likes, 107 comments - namakkal_jilla on July 27, 2025: ""Kongu Nadu 💚   Follow @namakkal_jilla for more updates and meme   #namakkal #namakkaljilla #karur #karurdistrict #coimbatore #coimbatore_official_ #erode #erodecity #salem #salemmakeupartist #thirupur #thirupurmakeupartist"".",,,,,,,scrapy_instagram,2026-03-30T22:00:06.412521,,True,neutral,0.4907,0.0,coimbatore
instagram,post,DNayZc2y0bg,,https://www.instagram.com/p/DNayZc2y0bg/,,,"14K likes, 85 comments - journey_with_bharkavi on August 16, 2025: ""Kongu slang part 2❤️ . . . . . . #treandingreels #kongu  #coimbatore  #erode  #tamil"".",,,,,,,scrapy_instagram,2026-03-30T21:59:37.595924,,True,neutral,0.4739,0.0,coimbatore
facebook,post,0e375a10a72641b8,,https://www.facebook.com/search/posts?q=kongu,,,அரசியல் ரீதியாக 'கோவையின் மகள்' என்று சொல்லும் போது மகிழ்ச்சியாக உள்ளது..  #kovai   #கோவையின்மகள்   #kongu   #vanathisrinivasan   #vanathibjp,,,,,,,scrapy_facebook_search,2026-03-30T21:58:51.229423,,True,positive,0.5742,0.0,coimbatore
facebook,post,0e375a10a72641b8,,https://www.facebook.com/search/posts?q=kongu,,,அரசியல் ரீதியாக 'கோவையின் மகள்' என்று சொல்லும் போது மகிழ்ச்சியாக உள்ளது..  #kovai   #கோவையின்மகள்   #kongu   #vanathisrinivasan   #vanathibjp,,,,,,,scrapy_facebook_search,2026-03-30T21:58:51.229423,,True,positive,0.5742,0.0,coimbatore
youtube,video,ygUFa29uZ3U%3D,,https://www.youtube.com/watch?v=kLhJQvwk3Oo&pp=ygUFa29uZ3U%3D,,WEDDING HIGHLIGHTS  | COIMBATORE  | Surendhirakumar ❤️ Ramya ZEROVOLUME PHOTOGRAPHY ™ 9159333394,Title: WEDDING HIGHLIGHTS  | COIMBATORE  | Surendhirakumar ❤️ Ramya ZEROVOLUME PHOTOGRAPHY ™ 9159333394 Channel:          ,,,,,,,scrapling_youtube,2026-04-03T14:30:27.480940,,True,neutral,0.6662,0.0,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore dmk OR coimbatore admk OR coimbatore tvk,,,,,,,scrapling_instagram,2026-04-03T14:29:35.838495,"dmk,admk,tvk",True,neutral,0.7573,2.1428,coimbatore
youtube,video,ygUFa29uZ3U%3D,,https://www.youtube.com/watch?v=kLhJQvwk3Oo&pp=ygUFa29uZ3U%3D,,WEDDING HIGHLIGHTS  | COIMBATORE  | Surendhirakumar ❤️ Ramya ZEROVOLUME PHOTOGRAPHY ™ 9159333394,Title: WEDDING HIGHLIGHTS  | COIMBATORE  | Surendhirakumar ❤️ Ramya ZEROVOLUME PHOTOGRAPHY ™ 9159333394 Channel:          ,,,,,,,scrapling_youtube,2026-04-03T14:44:02.735475,,True,neutral,0.5,0.0,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore dmk OR coimbatore admk OR coimbatore tvk,,,,,,,scrapling_instagram,2026-04-03T14:42:44.892496,"dmk,admk,tvk",True,neutral,0.5,2.1428,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore dmk OR coimbatore admk OR coimbatore tvk,,,,,,,scrapling_instagram,2026-04-04T00:58:46.296112,"dmk,admk,tvk",True,neutral,0.7573,2.0,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore dmk OR coimbatore admk OR coimbatore tvk,,,,,,,scrapling_instagram,2026-04-04T02:12:36.853573,"dmk,admk,tvk",True,neutral,0.7573,1.8261,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore dmk OR coimbatore admk OR coimbatore tvk,,,,,,,scrapling_instagram,2026-04-04T02:22:59.413150,"dmk,admk,tvk",True,neutral,0.7573,3.0,coimbatore
youtube,video,ygUKY29pbWJhdG9yZQ%3D%3D,,https://www.youtube.com/watch?v=0NR8Kn-8Oc0&pp=ygUKY29pbWJhdG9yZQ%3D%3D,,EASTER SUNDAY SPECIAL SERVICE 05-APR-2026 CSI CHRIST CHURCH COIMBATORE,Title: EASTER SUNDAY SPECIAL SERVICE 05-APR-2026 CSI CHRIST CHURCH COIMBATORE Channel:          ,,,,,,,scrapling_youtube,2026-04-05T04:41:27.024300,,True,neutral,0.8327,0.0,coimbatore
instagram,post,DUDzekxj-40,,https://www.instagram.com/p/DUDzekxj-40/,,,Instagram post about coimbatore politics,,,,,,,scrapling_instagram,2026-04-05T04:41:13.147751,,True,neutral,0.7447,0.0,coimbatore
instagram,post,reels,,https://www.instagram.com/reels/,,,Instagram post about coimbatore,,,,,,,scrapling_instagram,2026-04-05T04:40:46.842959,,True,neutral,0.7676,0.0,coimbatore
youtube,video,ygUKY29pbWJhdG9yZaAHAQ%3D%3D,,https://www.youtube.com/watch?v=xrSvmGIRjUM&list=RDxrSvmGIRjUM&start_radio=1&pp=ygUKY29pbWJhdG9yZaAHAQ%3D%3D,,வேணுக்கான கும்மி நிகழ்ச்சி இடம் குளத்துப்பாளையம் அன்னூர் பார்ட் 10#coimbatore #,Title: வேணுக்கான கும்மி நிகழ்ச்சி இடம் குளத்துப்பாளையம் அன்னூர் பார்ட் 10#coimbatore # Channel:          ,,,,,,,scrapling_youtube,2026-04-05T14:27:35.493745,,True,neutral,0.8655,0.0,coimbatore
instagram,post,C62nHF9paZq,,https://www.instagram.com/p/C62nHF9paZq/,,,Instagram post about admk coimbatore,,,,,,,scrapling_instagram,2026-04-05T14:37:02.913604,"dmk,admk",True,neutral,0.7979,1.7974,coimbatore
instagram,post,C4uVP5HLMH-,,https://www.instagram.com/p/C4uVP5HLMH-/,,,Instagram post about dmk coimbatore,,,,,,,scrapling_instagram,2026-04-05T16:10:07.592301,dmk,True,neutral,0.798,1.2133,coimbatore
instagram,post,DWjASSMEzFd,,https://www.instagram.com/p/DWjASSMEzFd/,,,Instagram post about tvk coimbatore,,,,,,,scrapling_instagram,2026-04-05T23:39:18.496846,tvk,True,neutral,0.7917,1.3276,coimbatore
youtube,video,ygUKY29pbWJhdG9yZdAFAdIHCQnZCgGHKiGM7w%3D%3D,,https://www.youtube.com/watch?v=UN4cE33JezI&pp=ygUKY29pbWJhdG9yZdAFAdIHCQnZCgGHKiGM7w%3D%3D,,Coimbatore♥️Jo is live!,Title: Coimbatore♥️Jo is live! Channel:          ,,,,,,,scrapling_youtube,2026-04-06T00:05:13.831963,,True,neutral,0.6895,0.0,coimbatore
